,FM_defect4ml053_faulty
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.0001,0.5358 (unreliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00033,0.3338 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00044,0.3434 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00049,0.3456 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00052,0.2199 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00053,0.2838 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00054,0.2806 (reliable)
MM_defect4ml053_change_learning_rate_mutated0_MP_False_0.00055,0.3100 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_categorical_hinge,0.3986 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_hinge,0.4014 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_huber_loss,0.3957 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.3877 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_logcosh,0.4014 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_mean_absolute_error,0.3979 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.3993 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_mean_squared_error,0.3904 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.3972 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_poisson,0.3957 (reliable)
MM_defect4ml053_change_loss_function_mutated0_MP_squared_hinge,0.4027 (reliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_adadelta,0.4031 (reliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_adagrad,0.5253 (unreliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_adamax,0.3944 (reliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_nadam,0.1475 (reliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_rmsprop,0.0906 (reliable)
MM_defect4ml053_change_optimisation_function_mutated0_MP_sgd,0.3809 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_11,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_12,0.0701 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_2,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_4,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_6,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_constant_8,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_11,0.1117 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_12,0.1348 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.1399 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_4,0.1334 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_6,0.1731 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_normal_8,0.1309 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_11,0.1503 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_12,0.1260 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.1093 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_4,0.1625 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_6,0.1764 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_glorot_uniform_8,0.1794 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_11,0.4160 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_12,0.1558 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_2,0.2614 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_4,0.1905 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_6,0.2920 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_normal_8,0.2004 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_11,0.3007 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_12,0.2318 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_2,0.2547 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_4,0.3390 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_6,0.1961 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_he_uniform_8,0.2328 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_11,0.2203 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_12,0.1310 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_2,0.1822 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_4,0.1596 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_6,0.1220 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_normal_8,0.1216 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_11,0.2267 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_12,0.1372 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.1416 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_4,0.1589 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_6,0.1710 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_lecun_uniform_8,0.1512 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_11,0.4727 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_12,0.0618 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_2,0.5690 (unreliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_4,0.5506 (unreliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_6,0.5621 (unreliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_ones_8,0.4409 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_11,0.1340 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_12,0.1163 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_2,0.1793 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_4,0.1192 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_6,0.2065 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_orthogonal_8,0.1301 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_11,0.0768 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_12,0.0778 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_2,0.0799 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_4,0.0852 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_6,0.0976 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_normal_8,0.1354 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_11,0.0710 (reliable)
