,FM_deeplocalize015_faulty
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_uniform_7,0.0063 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_identity_6,0.0087 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.0088 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_normal_3,0.0076 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_normal_6,0.0097 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_normal_7,0.0070 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.0080 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_uniform_3,0.0068 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_uniform_6,0.0073 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_lecun_uniform_7,0.0076 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_ones_1,0.0103 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_ones_3,0.0162 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_ones_6,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_ones_7,0.0076 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_orthogonal_1,0.0073 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_orthogonal_3,0.0074 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_orthogonal_6,0.0076 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_orthogonal_7,0.0077 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_normal_1,0.0061 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_normal_3,0.0066 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_normal_6,0.0074 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_normal_7,0.0084 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_uniform_1,0.0075 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_uniform_3,0.0071 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_uniform_6,0.0081 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_random_uniform_7,0.0091 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.0069 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_truncated_normal_3,0.0070 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_truncated_normal_6,0.0076 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_truncated_normal_7,0.0061 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.0085 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_variance_scaling_3,0.0076 (reliable)
