,FM_cleanml006_faulty
MM_cleanml006_delete_training_data_mutated0_MP_21.66,0.3528 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_24.75,0.3784 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_30.93,0.3367 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_34.02,0.3373 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_37.12,0.2937 (reliable)
MM_cleanml006_delete_training_data_mutated0_MP_49.5,0.2481 (reliable)
MM_cleanml006_delete_training_data_mutated0_MP_99,0.1376 (reliable)
MM_cleanml006_disable_batching_mutated0_MP,0.3288 (reliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_100,0.0391 (reliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_12.5,0.2983 (reliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_25.0,0.2276 (reliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_3.12,0.4915 (unreliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_50.0,0.1273 (reliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_6.25,0.4100 (unreliable)
MM_cleanml006_make_output_classes_overlap_mutated0_MP_9.38,0.3571 (reliable)
MM_cleanml006_remove_activation_function_mutated0_MP_1,0.1594 (reliable)
MM_cleanml006_remove_activation_function_mutated0_MP_2,0.2402 (reliable)
MM_cleanml006_remove_bias_mutated0_MP_1,0.4621 (unreliable)
MM_cleanml006_remove_bias_mutated0_MP_2,0.4199 (unreliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_100,0.1364 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_25.0,0.3216 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_37.5,0.2573 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_43.75,0.2425 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_46.88,0.2496 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_50.0,0.2434 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_53.12,0.2254 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_56.25,0.2139 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_62.5,0.1985 (reliable)
MM_cleanml006_unbalance_train_data_mutated0_MP_75.0,0.1695 (reliable)
