,FM_cleanml008_faulty
MM_cleanml008_make_output_classes_overlap_mutated0_MP_12.5,0.4425 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_15.62,0.4177 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_18.75,0.4171 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_25.0,0.3784 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_3.12,0.5278 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_50.0,0.2621 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_6.25,0.5087 (reliable)
MM_cleanml008_remove_activation_function_mutated0_MP_1,0.4094 (reliable)
MM_cleanml008_remove_activation_function_mutated0_MP_2,0.4086 (reliable)
MM_cleanml008_remove_bias_mutated0_MP_1,0.5758 (reliable)
MM_cleanml008_remove_bias_mutated0_MP_2,0.5663 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_100,0.2589 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_25.0,0.5491 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_37.5,0.5198 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_43.75,0.5045 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_46.88,0.4980 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_50.0,0.4925 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_62.5,0.4618 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_65.62,0.4008 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_68.75,0.4068 (reliable)
MM_cleanml008_unbalance_train_data_mutated0_MP_75.0,0.3816 (reliable)
